run_id,total_cost,num_routes,bb_nodes,total_columns,cpu_time_s
20260615_144931_bp_pomo_only,5005.544916665999,3,18,1139,1661.52
20260615_152156_bp_pomo_plus_selector,5172.851013332667,3,35,388,1292.47
