epoch,loss,avg_reward,baseline_variance,penalty_ratio,max_memory_load_percent,val_reward
111,-265.791432124916,3423.9234826608895,237239.87145679342,0.0,18.0,
112,-300.07433131006746,3438.028021163821,244445.6330933292,0.0,18.0,
113,-320.09913874431794,3500.76806802845,257435.10844721552,0.0,18.0,
114,-446.5463037869632,3495.05386223416,282066.16321378265,0.0,18.0,
115,-483.7299642148493,3413.9381343569758,292030.5124214343,0.0,18.0,1621.8720646400452
116,-416.7863819164629,3309.416971480489,276496.80302988953,0.0,18.0,
117,-441.57312735232534,3372.4398473813535,283862.5533300118,0.0,18.0,
118,-390.2839339300281,3405.95201520288,278340.3461354823,0.0,18.0,
119,-445.581686429526,3392.826622392625,280092.4484242233,0.0,19.0,
120,-444.44840723413836,3423.918541306734,293103.96686199843,0.0,19.0,929.0281663751603
121,-471.5316916373789,3455.4636351003646,297578.0480262613,0.0,19.0,
122,-453.78200280067557,3381.3612621541024,294199.4073688553,0.0,19.0,
123,-400.00446877566424,3410.2170109910257,286704.54183624097,0.0,19.0,
124,-562.4330642952347,3427.707472678423,326491.97021375765,0.0,19.0,
125,-439.2226392757793,3368.5461395344137,296576.96139458497,0.0,19.0,1809.286038082123
126,-468.1384845441412,3503.3247459738254,309404.4881673007,0.0,19.0,
127,-392.191919530967,3425.7183196749984,280632.8729695128,0.0,20.0,
128,-470.1667131223381,3399.0320341039896,302031.7946116781,0.0,20.0,
129,-445.0718060960928,3479.189403948784,314439.1882689154,0.0,20.0,
130,-387.55207305767607,3316.214863191366,285590.8997006413,0.0,20.0,1768.6546021804809
131,-529.2873429168179,3566.4271262276507,338984.54143670405,0.0,20.0,
132,-517.5226371306802,3519.1250298981668,328757.4547563945,0.0,20.0,
133,-472.3992446192043,3435.134259265363,305703.03099562955,0.0,20.0,
134,-432.2559700186448,3380.8946973528864,288074.7732569306,0.0,19.0,
135,-549.9485430528529,3385.8166558982134,317261.14699672797,0.0,19.0,1550.9936364440916
136,-698.4029169780384,3390.1695909762384,355181.00107628084,0.0,19.0,
137,-574.1364475454525,3430.682901319444,332021.9373054759,0.0,19.0,
138,-653.5387648500213,3408.1672315545084,349130.6913549974,0.0,19.0,
139,-618.0748386007548,3421.4939868323804,372863.7265476065,0.0,19.0,
140,-842.008336092706,3396.3697518533468,428721.50414100674,0.0,19.0,1881.8631131858824
141,-771.7693987834456,3445.3327930417063,418663.2086340857,0.0,19.0,
142,-672.5291513421793,3385.9107012719214,398054.69128799933,0.0,19.0,
143,-668.754609251679,3464.7193331578674,404887.2545796401,0.0,19.0,
144,-589.067438030501,3432.5979539392592,372312.48017849744,0.0,19.0,
145,-542.1869691730647,3424.898010144234,356234.6852540347,0.0,19.0,1958.1107634010316
146,-607.8225458026459,3406.5211051314473,382009.79836449877,0.0,19.0,
147,-690.9428971398689,3407.7307469005586,411709.31698545464,0.0,19.0,
148,-1024.2635213921715,3335.489529991746,517462.9965830799,0.0,19.0,
149,-1103.5738788666206,3360.0674874441625,556880.3848870988,0.0,19.0,
150,-1265.273532590839,3418.24700174427,590772.4354560019,0.0,22.0,2059.6855260133743
151,-1367.98267390444,3470.929983996868,668561.3125924964,0.0,22.0,
152,-1914.9864867488557,3304.1119334635737,803667.821749989,0.0,22.0,
153,-1584.4164894131543,3418.3827687340977,770420.0144256856,0.0,22.0,
