epoch,loss,td_loss,avg_reward,episode_length,epsilon,q_value_mean,replay_size,target_sync_count,elapsed_seconds,eta_seconds,progress_percent,num_samples,method,candidate_source,training_mode
1,0.0,0.0,-8.0,8.0,0.9392,0.0,64.0,0.0,54.117311239242554,1028.2289135456085,5.0,0,rlcg,pomo,dqn
2,503.2969696044922,503.2969696044922,-8.0,8.0,0.8784,-35.11194046214223,128.0,0.0,109.81882214546204,988.3693993091583,10.0,0,rlcg,pomo,dqn
3,248.84625549316405,248.84625549316405,-4.867546607514601,8.0,0.8176,-27.293811792880298,192.0,0.0,155.40979552268982,880.655507961909,15.0,0,rlcg,pomo,dqn
4,176.49175567626952,176.49175567626952,-8.0,8.0,0.7568,-22.710127861797808,256.0,0.0,197.15276265144348,788.6110506057739,20.0,0,rlcg,pomo,dqn
5,132.55829620361328,132.55829620361328,-6.519029526015499,7.625,0.69885,-19.148376635089516,317.0,0.0,245.9863142967224,737.9589428901672,25.0,0,rlcg,pomo,dqn
6,130.11773300170898,130.11773300170898,-4.571570192943712,8.0,0.63805,-17.528950149938463,381.0,1.0,341.23222041130066,796.208514293035,30.0,0,rlcg,pomo,dqn
7,169.21398468017577,169.21398468017577,-7.5,7.5,0.5810500000000001,-17.370481855794786,441.0,1.0,384.38840079307556,713.8641729014262,35.0,0,rlcg,pomo,dqn
8,71.11441497802734,71.11441497802734,-7.375,7.375,0.525,-12.272795599512756,500.0,1.0,425.2950668334961,637.9426002502441,40.0,0,rlcg,pomo,dqn
9,62.44109001159668,62.44109001159668,-2.8856324215485802,7.5,0.46799999999999997,-10.597451696149074,560.0,1.0,467.22470021247864,571.0524113708072,45.0,0,rlcg,pomo,dqn
10,61.83039436340332,61.83039436340332,-2.378424905834354,7.625,0.41005,-7.729268625658006,621.0,1.0,526.2075736522675,526.2075736522675,50.0,0,rlcg,pomo,dqn
11,57.70333290100098,57.70333290100098,-3.2329191646201387,7.5,0.35305,-7.573351278924383,681.0,2.0,572.3671579360962,468.30040194771505,55.00000000000001,0,rlcg,pomo,dqn
12,79.18986206054687,79.18986206054687,-2.3404557818621035,8.0,0.29225,-8.92210550850723,745.0,2.0,615.7295694351196,410.4863796234131,60.0,0,rlcg,pomo,dqn
13,52.4664421081543,52.4664421081543,-4.704626107500962,7.5,0.23524999999999996,-6.587135303183459,805.0,2.0,657.147049665451,353.8484113583197,65.0,0,rlcg,pomo,dqn
14,33.31376390457153,33.31376390457153,-0.3854830471685782,7.5,0.17825000000000002,-3.9150594003731385,865.0,2.0,698.3940215110779,299.31172350474776,70.0,0,rlcg,pomo,dqn
15,35.88366756439209,35.88366756439209,-3.675583905780972,7.625,0.12029999999999996,-2.7789221190148963,926.0,2.0,783.7549040317535,261.2516346772511,75.0,0,rlcg,pomo,dqn
