epoch,loss,elapsed_seconds,eta_seconds,progress_percent,num_samples,method,candidate_source
167,0.0006249846791353846,1990.6779472827911,9929.549281955478,16.7,3378,ffcg,ga
168,0.0006419222053193576,2003.287606716156,9921.043385641915,16.8,3378,ffcg,ga
169,0.019107985846664705,2015.8197786808014,9912.107905820982,16.900000000000002,3378,ffcg,ga
170,0.038968086508120184,2028.3847262859344,9903.290134219562,17.0,3378,ffcg,ga
171,0.000642338486267536,2040.2401435375214,9890.988766038627,17.1,3378,ffcg,ga
172,0.0006301467688105305,2051.929398059845,9877.89268368344,17.2,3378,ffcg,ga
173,0.0006243486862965795,2064.2784101963043,9867.966735447075,17.299999999999997,3378,ffcg,ga
174,0.0016924175205608896,2076.3951318264008,9856.910223497742,17.4,3378,ffcg,ga
175,0.0006494524740897405,2088.4607520103455,9845.600688048773,17.5,3378,ffcg,ga
176,0.0006145945733026736,2101.082378387451,9836.885680632158,17.599999999999998,3378,ffcg,ga
177,0.000620936254821713,2112.388860464096,9822.011481140968,17.7,3378,ffcg,ga
178,0.006415493914018116,2124.241409301758,9809.699092393512,17.8,3378,ffcg,ga
179,0.005767138646795975,2136.4849693775177,9799.185250608616,17.9,3378,ffcg,ga
180,0.0008433875922257209,2148.7236003875732,9788.629735098944,18.0,3378,ffcg,ga
181,0.09541667582150384,2161.0230021476746,9778.330600878153,18.099999999999998,3378,ffcg,ga
182,0.0006254734516957561,2173.284751176834,9767.840255289288,18.2,3378,ffcg,ga
183,0.0006219963451644619,2184.7224707603455,9753.651686400013,18.3,3378,ffcg,ga
184,0.0006230162419924185,2196.882541179657,9742.696486970653,18.4,3378,ffcg,ga
185,0.02375811200984348,2209.038325071335,9731.709378016962,18.5,3378,ffcg,ga
186,0.07033222557200303,2221.2774579524994,9721.074466523303,18.6,3378,ffcg,ga
187,0.0008366374174073956,2233.481686115265,9710.270646051928,18.7,3378,ffcg,ga
188,0.002717987808723936,2245.6186604499817,9699.161448326517,18.8,3378,ffcg,ga
189,3.022937545182586,2257.105578660965,9685.25198039176,18.9,3378,ffcg,ga
190,0.006683158412070652,2269.2407236099243,9674.131505915993,19.0,3378,ffcg,ga
191,0.0017269350069861866,2281.5564155578613,9663.765131865497,19.1,3378,ffcg,ga
192,0.0034985667785282274,2293.783493041992,9653.005533218384,19.2,3378,ffcg,ga
193,0.0006217991627986412,2305.9466223716736,9641.963338103318,19.3,3378,ffcg,ga
194,0.0006246757913412882,2317.4464032649994,9628.153613564895,19.400000000000002,3378,ffcg,ga
195,0.008755754976494121,2328.481286048889,9612.448385996697,19.5,3378,ffcg,ga
196,0.0867050948386688,2340.85991024971,9602.30289714677,19.6,3378,ffcg,ga
197,0.000633356619534043,2353.33944272995,9592.546053361166,19.7,3378,ffcg,ga
198,0.0006540101568605933,2365.981989145279,9583.421996436937,19.8,3378,ffcg,ga
199,0.0006299799032540946,2378.3384721279144,9573.111136555071,19.900000000000002,3378,ffcg,ga
200,0.005832141889553415,2390.0403983592987,9560.161593437195,20.0,3378,ffcg,ga
201,0.0197338919769901,2401.480713367462,9546.184527266678,20.1,3378,ffcg,ga
202,0.000644766113685755,2413.4692327976227,9534.398256299519,20.200000000000003,3378,ffcg,ga
203,0.0006538001095008386,2425.534390449524,9522.910882700839,20.3,3378,ffcg,ga
204,0.0006478411697870843,2437.3950383663177,9510.619855586221,20.4,3378,ffcg,ga
205,0.9889570628630504,2449.362983226776,9498.749130074571,20.5,3378,ffcg,ga
206,0.004905598625415814,2460.4544627666473,9483.499239984068,20.599999999999998,3378,ffcg,ga
207,0.0006295662601921375,2472.0073280334473,9470.057058601564,20.7,3378,ffcg,ga
208,0.0006211901455071179,2483.9803245067596,9458.232774083432,20.8,3378,ffcg,ga
209,0.0006313666635983443,2496.2118968963623,9447.385695909199,20.9,3378,ffcg,ga
210,0.0007464847899965167,2508.410491466522,9436.401372659775,21.0,3378,ffcg,ga
211,0.0006284558126533738,2520.15287566185,9423.69961562654,21.099999999999998,3378,ffcg,ga
212,8.415834127842597,2531.421401500702,9409.245586710156,21.2,3378,ffcg,ga
213,0.0032530863788441796,2543.297810316086,9397.067496332205,21.3,3378,ffcg,ga
214,0.0006454572683160739,2555.3336431980133,9385.477773615134,21.4,3378,ffcg,ga
215,0.0006386059854828574,2567.375767469406,9373.90687192318,21.5,3378,ffcg,ga
216,0.0063742000802850815,2579.4564435482025,9362.471535841623,21.6,3378,ffcg,ga
217,0.15854740922691127,2590.8568873405457,9348.575773214965,21.7,3378,ffcg,ga
218,0.0005241618468951651,2602.4738252162933,9335.479501463951,21.8,3378,ffcg,ga
219,0.0006275212496541166,2614.6904690265656,9324.535416939487,21.9,3378,ffcg,ga
220,0.0006262368498105164,2626.838322162628,9313.335869485682,22.0,3378,ffcg,ga
221,0.005758080585071515,2639.6816008090973,9304.57903633614,22.1,3378,ffcg,ga
222,0.0006075548230390844,2652.164121389389,9294.521110094345,22.2,3378,ffcg,ga
223,0.0006074660247368524,2663.9437334537506,9281.99229100253,22.3,3378,ffcg,ga
224,0.0006167524658062374,2675.484381198883,9268.642320581845,22.400000000000002,3378,ffcg,ga
225,2.541341853489995,2687.809067249298,9258.009009414249,22.5,3378,ffcg,ga
226,0.012035324971796825,2700.1932554244995,9247.564511940542,22.6,3378,ffcg,ga
227,0.0006225358366605738,2712.5704152584076,9237.078991166296,22.7,3378,ffcg,ga
228,0.0006013615755108432,2725.18137717247,9227.368522706784,22.8,3378,ffcg,ga
229,0.0006124888098378826,2737.385466814041,9216.262859884828,22.900000000000002,3378,ffcg,ga
