epoch,loss,avg_reward,baseline_variance,penalty_ratio,val_reward
1,418.1384008789062,380.58879353027345,35568.772815625,0.0,
2,335.8113552734375,383.1747400878906,37462.1926375,0.0,
3,241.11541560058595,417.66351416015624,43946.268796875,0.0,
4,274.8901761352539,395.84625852050783,39741.9205875,0.0,
5,254.45801586914064,364.1115792602539,34413.21593046875,0.0,436.4560384442729
6,219.13354982299805,346.29679427490237,32863.18821640625,0.0,
7,273.6704195640564,276.56423934783936,27302.98713515625,0.0,
8,228.09820812072755,293.8932029418945,24609.5377640625,0.0,
9,178.27138164367676,272.356953125,23656.0915625,0.0,
10,240.7238824523926,398.5579441894531,40875.6541125,0.0,525.1245491273942
11,268.948496862793,408.49851079101563,42987.985309375,0.0,
12,269.0305767578125,407.0200908203125,43087.276765625,0.0,
13,271.6623364990234,220.9400530029297,22917.31130390625,0.0,
14,331.90646505126955,334.0232296081543,33977.769488671875,0.0,
15,318.9059409912109,376.67018576660155,39239.189053125,0.0,772.0833582724295
16,271.5199177368164,356.4895229003906,35820.8393984375,0.0,
17,315.48828651733396,396.5960821533203,41850.889890625,0.0,
18,251.19997633666992,414.0952294921875,43904.0684828125,0.0,
19,223.0066921569824,390.90108759765627,40839.184825,0.0,
20,201.51789093322753,417.8618819824219,44591.025096875,0.0,676.2847920079386
21,223.62623943977357,409.553569140625,43658.070784375,0.0,
22,225.09776202392578,408.38384680175784,43095.37656875,0.0,
23,229.2999601196289,426.51273767089845,46161.0993,0.0,
24,213.8298633972168,444.11175810546877,48371.658696875,0.0,
25,197.28293326416016,438.8125745361328,48369.229096875,0.0,403.98382199195123
26,206.13339802856444,442.86004379882814,48179.33111875,0.0,
27,183.8398712524414,448.6100663574219,48821.4974375,0.0,
28,186.33839685058595,446.594806640625,48567.22348125,0.0,
29,127.77948647460937,444.02973759765626,48522.02460625,0.0,
30,171.88042608032225,446.543223828125,49110.278159375,0.0,765.7422613328503
31,142.0312366016521,409.1035865943909,44516.662243164064,0.0,
32,244.654995211792,380.8494348278761,40806.95879492188,0.0,
33,253.95789090699017,416.91904974365235,45333.09505625,0.0,
34,178.8227105178833,373.3806626115799,38362.520513476564,0.0,
35,140.6891342010498,438.08135795898437,47063.7141625,0.0,771.200662920552
36,194.48454370727538,445.5771271484375,48125.18855625,0.0,
37,183.52927200317382,449.5174682128906,49304.350325,0.0,
38,186.40765798339845,450.6848486328125,49138.67615625,0.0,
39,162.11286856689452,434.52853825683593,47342.883682226566,0.0,
40,203.31859591064452,444.61172995605466,48778.320759375,0.0,597.9186066658266
41,207.78099213390425,337.5654834631205,37058.913343359374,0.0,
42,202.89739286499022,446.7529192016602,49056.81035625,0.0,
43,159.7925077331543,452.8314029785156,49932.97130625,0.0,
44,150.19699729003906,454.019613671875,50133.37260625,0.0,
45,151.66972444458008,450.3857529296875,49270.573,0.0,785.4070995699975
46,199.06719196166992,446.8127921875,48709.99543125,0.0,
47,161.5588226928711,449.44058942871095,49524.292221875,0.0,
48,223.5124475830078,448.76282963867186,49047.62441875,0.0,
49,160.21089033813476,439.46173352050783,47453.3154453125,0.0,
50,163.67379400024413,446.39510183105466,48691.53606875,0.0,795.1080066311744
51,158.2126629272461,445.365043359375,48268.889953125,0.0,
52,134.58928001098633,451.88781381835935,49665.43813125,0.0,
53,166.27763095092774,451.10723740234374,49869.9762125,0.0,
54,176.74091045303345,431.6132757080078,49226.4352375,0.0,
55,196.85495630569457,449.66234194335937,49971.51394375,0.0,786.7821960449219
56,137.9459790649414,453.0988015625,49774.05284375,0.0,
57,144.31997902221678,450.09943798828124,49369.62328125,0.0,
58,149.58679205932617,451.24698784179685,49596.4252625,0.0,
59,163.99631313476561,451.4286494873047,49201.4062,0.0,
60,192.2029028930664,449.6799916015625,50274.33799375,0.0,798.6832511655746
61,157.82680789909364,447.00566669921875,50776.2569,0.0,
62,229.21048985892534,442.7380734863281,49449.6172625,0.0,
63,167.579807421875,450.65624219970704,49864.0277984375,0.0,
64,182.5176617919922,445.3487077392578,49468.726103125,0.0,
65,184.43843225593568,439.79403878173827,48243.3575609375,0.0,459.2166812035345
66,152.58198604125977,448.14653427734373,49508.94516875,0.0,
67,181.13322053222657,445.62399089355466,49189.335771875,0.0,
68,176.78479893188478,449.2279250488281,49597.880471875,0.0,
69,151.37810375976562,451.08643271484374,49340.62993125,0.0,
70,150.487585345459,449.068984765625,49088.4888625,0.0,807.5042094569052
71,150.00717362670898,453.391176953125,49816.30655625,0.0,
