Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70017409,141.268,0.452,14.55456508,121.0474772,08:00,17:00,0.8500000000000001,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Monday,,,6.0
70082068,6.96,0.011,14.53254428,121.0508352,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Monday,,,1.0
70089704,13.824,0.024,14.34792154,121.0652736,08:00,17:00,0.45,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Monday,,,2.0
