Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70017028,3.268,0.021,14.55164471,121.0229718,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017100,20.016,0.055999999999999994,14.65790783,120.9510995,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017120,1.12,0.008,14.51516971,121.2390509,08:00,17:00,0.65,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,4.0
70017135,58.974000000000004,0.198,14.55821333,121.0053684,08:00,17:00,0.75,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,5.0
70017139,1.782,0.012,14.44789233,120.9854103,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70017142,26.544,0.085,14.62924301,120.9739946,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70017178,36.532,0.116,14.65014273,121.1167646,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017186,20.852,0.071,14.54014393,121.0121386,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70017217,1.124,0.007,14.52255299,121.1542433,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70017219,1.2,0.007,14.56675824,121.0118975,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70017383,2.446,0.016,14.6495929,121.1017166,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017402,1.448,0.008,14.60505303,121.0227754,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017409,164.232,0.528,14.55456508,121.0474772,08:00,17:00,0.55,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,3.0
70017411,3.288,0.022,14.34603986,121.0635544,08:00,17:00,0.65,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,4.0
70017414,10.082,0.061,14.60456058,121.043217,08:00,17:00,0.65,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,4.0
70018744,1.431,0.002,14.64528551,121.0533805,08:00,17:00,0.35,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,1.0
70018747,0.25,0.000347,14.52308981,121.1542441,08:00,17:00,0.35,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,1.0
70022407,5.725,0.007,14.61825644,120.9709,08:00,17:00,0.35,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,1.0
70022408,79.87,0.256,14.50078178,120.9977171,08:00,17:00,0.65,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,4.0
70022410,57.572,0.184,14.69807138,120.9634114,08:00,17:00,0.45,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,2.0
70022413,0.954,0.001,14.57461617,121.0124754,08:00,17:00,0.35,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Thursday,,,1.0
