Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70017011,322.068,0.71718597,14.5765022,121.085296,08:00,17:00,1.0,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017084,1.384,0.00827237,14.62399369,121.0553598,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017089,11.37,0.04465616,14.70644244,121.0692568,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017102,15.476,0.0555699,14.58444262,121.1757258,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017116,3.92,0.02196,14.67744353,121.0825134,08:00,17:00,0.35,"{4w, 6w, 10w}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017127,10.976,0.03677046,14.46564966,121.0177827,08:00,17:00,0.35,,2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017131,10.566,0.06,14.58262771,121.0547967,08:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70017148,0.248,0.001,14.61491856,121.0617636,08:00,17:00,0.35,,2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017177,0.124,0.00074936,14.60082726,120.9759003,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017185,12.6,0.04254864,14.7287482,121.1440489,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017194,8.132,0.031,14.62745309,121.0345231,08:00,17:00,0.45,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70017203,0.422,0.00240544,14.57377505,121.0161974,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017222,3.03,0.0174828699999999,14.56560657,121.0358869,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017245,18.328,0.068,14.75602344,121.0431592,08:00,17:00,0.45,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70017263,19.132,0.069,14.58775938,121.1753616,08:00,17:00,0.55,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,3.0
70017289,0.518,0.00324984,14.06960255,121.3246927,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70017321,2.838,0.014,14.48663847,121.0273433,08:00,17:00,0.45,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70017337,2.592,0.01475404,14.58908242,121.0690202,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70028054,3.316,0.02023534,14.66051542,121.0446219,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70127101,9.256,0.03341726,14.75686218,121.0536309,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70249050,2.084,0.01022667,14.6401853,121.0230694,08:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70278581,3.768,0.015,14.61695579,120.9705103,08:00,17:00,0.45,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70283687,28.88,0.08749348,14.17850398,121.2421684,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70288086,3.6,0.010706,14.48021921,120.8988292,08:00,17:00,0.333333333,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
70400118,0.438,0.002,14.40699245,120.955763,08:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,2.0
70417236,4.5920000000000005,0.01678237,14.57595453,121.0409086,08:00,17:00,0.35,"{4w, 6w, 10w, 40ft}",2522,14.5440065750203,121.084957449375,Wednesday,,,1.0
