Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70017437,0.427,0.002,14.60213586,121.0365402,08:00,16:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,2.0
70017459,0.22,0.001,14.55488473,121.0133299,08:00,16:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70017539,1.036,0.007,14.59052169,121.0690191,08:00,16:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019322,0.631,0.001,14.6325787,121.096125,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019375,0.012,0.0,14.63224007,121.0938497,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019410,0.098,0.001,14.63290444,121.0951864,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019425,0.204,0.000464,14.57923238,121.1386665,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019426,4.158,0.006,14.52968055,121.1542452,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019475,0.06,0.001092,14.56518703,121.1398343,08:00,17:00,1.0,"{AUV, MC, 4w, 6w}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019476,0.036,0.0,14.63174178,121.0961807,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019482,0.06,0.001,14.62292153,121.1106243,08:00,17:00,1.0,"{AUV, MC, 4w, 6w}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70019554,0.513,0.001289,14.63024693,121.1201218,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70030492,0.024,0.0,14.57633674,121.1773259,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70030499,0.684,0.001,14.72984441,121.1378533,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70042197,1.779,0.004,14.58394216,121.123774,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70084418,0.039,0.0,14.57964031,121.1380988,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70084983,0.046,4.6e-05,14.53067757,121.154252,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70130674,0.628,0.003463,14.62594348,121.0844611,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70132665,0.046,0.000389,14.47642017,121.1959103,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70138438,0.774,0.003,14.60442645,121.1060491,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70248476,0.098,0.001,14.4951024,121.2909781,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70286419,0.018,0.0,14.57035576,121.1786399,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70337217,0.408,0.001,14.62500319,121.133485,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70337705,0.09,0.001,14.57645321,121.1768653,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70347238,0.556,0.001,14.58424845,121.123968,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70374983,0.204,0.000464,14.6486277,121.0924717,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70375866,1.11,0.002,14.62586893,121.1247822,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70396492,0.041999999999999996,0.0,14.64534642,121.0963252,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70408272,1.222,0.003,14.61711251,121.1349582,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70412170,0.09,0.001,14.62271103,121.1022785,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70450886,0.787,0.002,14.73188646,121.1441889,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,0.0
70484079,1.1320000000000001,0.003,14.6516115,121.101893,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70521396,2.182,0.003,14.69709232,121.1221925,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70525152,5.3790000000000004,0.019,14.58032397,121.1731914,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70548634,0.36,0.003,14.58507461,121.1756311,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
