Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70019475,0.05,0.0,14.56518703,121.1398343,08:00,17:00,1.0,"{AUV, MC, 4w, 6w}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70030492,0.05,0.0,14.57633674,121.1773259,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70084418,0.062,0.0,14.57964031,121.1380988,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70084983,0.05,0.0,14.53067757,121.154252,08:00,17:00,1.0,"{AUV, 4w, 6w, 10w, 40ft}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70132663,0.062,0.0,14.68016142,121.1139175,08:00,17:00,1.0,"{AUV, MC, 4w, 6w}",2524,14.309532385263,121.09739842881,Monday,,,1.0
70494788,0.05,0.0,14.63880958,121.1311837,08:00,17:00,1.0,"{AUV, MC, 4w, 6w}",2524,14.309532385263,121.09739842881,Monday,,,1.0
