epoch,loss,avg_reward,baseline_variance,penalty_ratio,max_memory_load_percent,val_reward
95,34.38684131083482,1993.9874221297264,217039.7440739502,0.0,nan,1229.799919220709
96,34.04778925779974,1940.8078469528198,229094.0972307373,0.0,nan,
97,39.183724196117375,1929.6240482063292,234228.03494005126,0.0,nan,
98,37.225137241126596,2098.885633766174,249194.15441408692,0.0,nan,
99,26.294880088648526,2000.0551676448822,219796.9968019287,0.0,nan,
100,28.899287688145577,1992.98649854393,221857.40633676606,0.0,nan,1151.765701816928
101,41.11591841043569,1982.1816461639405,235897.85445562744,0.0,nan,
102,37.713669436907026,2050.8081373306272,226174.15304333495,0.0,nan,
103,34.27955306882793,1972.7176316375733,235023.74223129882,0.0,nan,
104,33.05695197340348,2087.2986566638947,231648.4799080078,0.0,nan,
105,37.65560919813663,1952.5774862430571,235365.11378076783,0.0,nan,1252.7982462298487
106,31.824919614299166,2000.2770165145873,247894.193670282,0.0,nan,
107,26.454640658892103,1986.6843608627319,237045.99946242676,0.0,nan,
108,30.543225441004243,2009.9780174285888,223493.64015449828,0.0,nan,
109,36.560899139302116,2021.141612071991,230274.26139335937,0.0,nan,
110,29.10282196015194,1965.5417067321778,228666.37393806153,0.0,nan,1238.2604010797315
111,27.981660923131486,2088.755896070862,234512.89756912537,0.0,nan,
112,31.49518521623835,1944.6889331787108,223623.4971514038,0.0,nan,
113,38.06570177779315,2003.475500048828,236237.18404904785,0.0,nan,
114,30.833722252919337,2001.414744670105,229509.21932960206,0.0,nan,
115,37.74389088074588,2006.0458205345153,235275.30435673828,0.0,nan,1426.5584161512313
116,30.491740262310767,2039.5280538253785,223327.5779629883,0.0,nan,
117,29.075610987816447,2093.719234977722,235728.75771470947,0.0,nan,
118,31.94181125396195,2127.2903689041136,231311.93259162598,0.0,nan,
119,33.190770570893356,1949.9560376678467,225216.22360726318,0.0,nan,
120,37.11741813364783,2082.7187475860596,226578.87871496583,0.0,nan,1246.9737283645136
121,38.74060882731029,2165.784156048584,260056.82084940185,0.0,nan,
122,31.606936464031623,2142.5875544265746,236354.24158618163,0.0,nan,
123,28.757595466186945,2048.763524230194,220022.53990904236,0.0,nan,
124,32.711819531742485,2029.0885842010498,230787.69758083497,0.0,nan,
