,Depot,70017458,70017459,70017496,70017505,70017526,70017539,70017600,70018354,70018486,70019315,70019322,70019375,70019381,70019384,70019391,70019392,70019410,70019425,70019426,70019459,70019475,70019476,70019480,70019482,70019513,70019527,70019549,70019554,70019564,70020103,70029285,70030492,70030499,70030842,70031292,70031293,70034004,70042197,70043250,70043420,70081032,70082414,70083842,70084418,70084927,70084983,70130674,70130675,70132664,70132665,70133553,70138438,70155196,70155987,70238985,70244565,70246377,70248476,70286419,70288587,70337217,70337705,70343296,70347238,70351598,70361410,70362005,70373907,70374983,70375866,70382544,70382797,70390788,70390791,70390799,70395155,70396492,70398370,70398392,70400253,70401488,70408061,70408272,70408277,70408280,70412170,70428043,70433908,70435202,70450886,70464520,70465560,70484079,70490240,70494785,70494786,70494791,70521396,70521405,70525152,70535019,70544149,70548634,70556250,70584255
Depot,0.0,46852.8,45889.4,47796.2,46301.4,50778.1,52987.5,59798.9,46200.6,57002.4,48247.5,60007.9,60087.6,62828.3,50207.2,49745.4,47170.0,59865.1,54722.7,55548.9,33357.1,53579.6,62696.9,40628.1,62643.7,54112.0,9007.0,55170.6,63661.4,47077.5,48177.4,33712.6,59447.0,75395.4,45414.7,43574.5,51395.4,49776.4,56411.9,35330.4,49052.5,41584.6,43185.2,45919.7,54791.8,53188.3,55524.1,58699.8,49386.4,32788.2,63297.8,46971.8,58987.1,37883.4,49544.5,51827.7,50056.3,54864.8,80447.5,60089.3,60063.2,63968.3,59372.9,48560.9,56451.7,45464.0,53415.5,64840.0,49395.3,61074.2,62943.4,41320.5,46571.3,54016.7,59011.4,50344.8,47552.6,60630.7,51125.3,52250.3,47443.8,46252.4,46789.3,64338.2,62254.3,48635.9,61204.5,41568.9,46703.0,45555.3,75249.1,47910.1,35407.6,62249.7,48630.9,55041.4,53329.4,50570.1,70497.6,38147.0,58796.2,49991.7,30797.7,58619.2,49684.6,46460.2
70017458,46592.2,0.0,891.8,3930.4,815.5,7077.5,9286.9,16098.3,6310.8,13301.8,4546.9,16307.3,16387.0,18243.5,6506.6,4408.2,4870.6,16164.5,16835.0,22513.2,24427.4,19205.0,16854.7,30354.0,18058.9,6719.6,45136.4,13613.6,19076.5,5011.5,8673.2,23092.2,22587.4,31694.8,5283.5,8388.9,7694.9,10335.7,15405.9,22122.1,2593.9,9475.2,6036.6,2009.8,16904.1,9487.7,22488.3,14999.3,5685.9,24189.7,30262.0,8437.7,17182.3,10206.5,5843.9,8127.1,9349.0,16670.9,43587.8,23229.6,23203.5,19383.4,22513.2,2102.3,15445.7,2427.6,9714.9,20255.2,3567.0,17373.7,18358.6,29634.5,8037.1,12479.7,17206.6,6644.2,5481.2,16930.1,7424.7,10386.2,5037.6,1498.9,6094.6,19753.4,29218.6,2807.6,16619.7,9459.5,4403.6,2281.7,31548.5,2081.8,27544.8,18549.1,2802.5,13484.4,11792.4,6869.5,26797.1,11198.3,21936.5,6291.1,27037.1,21759.5,5984.1,2594.4
70017459,45972.9,877.6,0.0,3022.9,525.2,7744.6,9954.0,16765.4,4606.7,13968.9,5214.0,16974.4,17054.1,18910.5,7173.6,4830.4,6800.9,16831.6,17502.1,23180.2,22723.3,19872.1,17521.8,28649.8,18725.9,5801.8,44517.1,14280.6,19743.6,5678.6,9340.2,21388.1,23254.4,32361.9,7617.8,10527.0,8361.9,11002.8,16073.0,20417.9,3016.1,8555.7,5117.0,2162.8,17571.2,10154.8,23155.4,15666.3,6352.9,22485.6,30929.1,9104.7,17849.3,9587.2,6510.9,8794.2,10016.0,17337.9,44254.8,23896.7,23870.6,20050.5,23180.3,2524.5,16112.8,1508.1,10382.0,20922.2,2805.9,18040.7,19025.7,27930.4,8704.2,13146.8,17873.7,7311.2,6148.3,17597.2,8091.7,11053.3,5704.7,2302.0,6761.7,20420.4,29885.6,1873.0,17286.7,8539.9,5774.6,1937.7,32215.6,1278.2,25840.7,19216.1,1868.0,14151.4,12459.5,7536.6,27464.1,10579.0,22603.5,6958.2,25333.0,22426.6,6651.1,1686.8
70017496,47676.0,3108.9,3102.5,0.0,3288.0,9591.9,11801.3,18612.7,4840.8,13384.8,7061.3,18821.7,18901.4,20757.9,9021.0,6677.7,8648.2,18678.9,19349.4,25027.5,20691.3,21719.4,19369.1,26617.8,20573.2,8432.2,46220.2,16127.9,21590.9,7525.9,11187.6,19356.1,25101.7,33208.8,9465.2,12374.4,10209.2,12850.1,17920.3,18385.9,4863.4,10721.8,6989.3,4970.2,19418.5,12002.1,25002.7,17513.6,8200.3,20453.6,32776.4,10952.0,19696.6,11290.3,8358.3,9764.1,11863.3,19185.2,46102.1,25744.0,25717.9,21897.8,25027.6,4371.8,17960.1,5460.4,12229.3,22769.6,5206.2,19888.0,20873.0,25898.4,10551.5,14994.1,19721.0,9158.6,7995.6,19444.5,9939.1,12900.6,7552.0,4459.3,8609.0,22267.8,31733.0,4446.8,19134.0,10706.0,7622.0,5242.1,33062.4,3721.0,23808.7,21063.5,4441.8,15998.8,14306.8,9383.9,28311.0,12282.0,24450.9,8805.5,23300.9,24273.9,8498.4,2446.4
70017505,45750.6,960.5,189.3,3227.9,0.0,7827.5,10036.9,16848.3,4823.7,14051.8,5296.9,17057.3,17137.0,18993.4,7256.5,4913.3,6883.8,16914.5,17585.0,23263.1,22940.4,19955.0,17604.7,28866.9,18808.8,5884.7,44294.7,14363.5,19826.5,5761.5,9423.1,21605.2,23337.3,32444.8,7700.8,10609.9,8444.8,11085.7,16155.9,20635.0,3099.0,8772.7,5334.1,1940.4,17654.1,10237.7,23238.3,15749.2,6435.8,22702.7,31012.0,9187.6,17932.2,9364.8,6593.8,8877.1,10098.9,17420.8,44337.7,23979.6,23953.5,20133.4,23263.2,2607.4,16195.7,1725.2,10464.9,21005.1,2888.8,18123.6,19108.6,28147.5,8787.1,13229.7,17956.6,7394.1,6231.2,17680.1,8174.6,11136.2,5787.6,1975.5,6844.6,20503.3,29968.5,1955.9,17369.6,8757.0,5857.6,1715.3,32298.5,1361.1,26057.8,19299.0,1950.9,14234.3,12542.4,7619.5,27547.0,10356.6,22686.4,7041.1,25550.0,22509.5,6734.0,1891.9
70017526,49317.0,6110.8,5921.0,8036.2,5844.7,0.0,4495.6,11307.0,8384.5,8510.5,2292.7,11516.0,11595.7,13452.1,2486.5,2242.2,5741.6,11373.2,12043.7,17721.8,26501.2,14413.7,12063.4,32427.7,13267.5,3443.9,47861.1,8822.2,14285.2,5196.1,6388.5,25166.0,17796.0,26903.5,7360.0,9266.7,2914.3,7029.6,10614.6,24195.8,4714.7,12361.4,8922.8,4758.6,12112.8,4696.4,17697.0,10207.9,2787.7,26263.5,25470.7,6153.0,12390.9,12941.6,3559.2,2161.4,6042.8,11879.5,38796.4,18438.3,18412.2,14592.1,17721.9,4223.1,10654.4,5953.0,4923.6,15463.9,4926.1,12582.3,13567.3,31708.3,5752.5,7688.4,12415.3,759.3,3771.5,12138.8,2017.8,5594.9,4334.5,4406.0,5379.8,14962.1,24427.3,6484.5,11828.3,10192.1,4851.6,4358.2,26757.2,5758.7,29618.5,13757.8,6479.5,8693.1,7001.1,2785.0,22005.7,13323.4,17145.2,2243.4,29110.8,16968.2,1340.4,6609.1
70017539,52901.0,9694.8,9505.1,11620.3,9428.8,3735.4,0.0,9864.2,11968.6,7067.7,5876.8,10073.2,10152.9,12009.4,4674.4,5826.3,7678.4,9930.4,8833.4,14511.5,30085.2,11203.4,10620.6,36011.8,11824.7,6126.2,51445.2,5611.9,12842.4,8780.2,6790.1,28750.0,14585.7,25460.7,8864.5,10699.4,2218.0,5939.0,7404.3,27779.8,8298.8,12427.0,12506.8,8342.7,8902.5,3252.8,14486.7,8765.1,4938.4,29847.5,22260.4,7587.5,9180.6,16525.7,7143.3,4533.4,4952.3,8669.2,35586.1,15228.0,15201.9,13149.3,14511.6,7807.2,7444.1,9537.1,3479.9,14021.1,8510.2,11139.5,12124.5,35292.3,7186.9,4478.1,9205.0,4635.0,7355.5,10696.0,3830.9,2384.6,7918.5,7990.0,7316.5,13519.3,21217.0,10068.6,10385.5,11624.7,7921.7,7942.2,25314.4,9342.8,33202.6,12315.0,10063.6,5482.8,3790.8,3005.0,20563.0,16907.5,13934.9,4086.7,32694.9,13757.9,4924.4,10193.2
70017600,59631.6,16425.4,16235.6,18350.9,16159.4,10466.0,8510.5,0.0,18699.1,3700.6,12607.4,928.4,1008.1,4571.7,11404.9,12556.9,13600.6,785.6,9917.5,15605.6,36815.8,12287.5,1475.8,42742.3,5877.7,12856.8,58175.7,3884.3,3311.9,14185.1,12537.5,35480.6,15669.9,12902.1,14786.7,16621.5,10480.3,12082.2,8488.4,34510.4,15029.4,18349.2,19237.4,15073.2,9986.6,8038.4,15580.7,4066.2,11669.0,36578.1,23354.5,13509.7,5894.5,23256.3,13219.9,11263.9,11095.4,9753.4,38323.2,16312.1,16286.0,7166.0,15595.7,14537.7,8528.2,16267.6,7817.6,4967.2,15240.8,1275.3,6141.1,42022.9,13109.1,9350.1,5918.8,11365.6,12895.1,831.8,10561.4,9082.2,13132.1,14720.6,13238.7,7535.9,22311.0,16799.1,2659.0,17546.9,13843.9,14672.8,12580.2,16073.4,39933.2,2450.7,16794.1,4013.4,8647.3,11631.7,7828.8,23638.1,15019.0,10817.3,39425.4,15952.9,11655.0,16923.7
70018354,45199.5,4538.5,3677.1,5586.2,3739.7,8562.0,10771.3,17582.8,0.0,14786.2,6031.4,17791.7,17871.4,19727.9,7991.0,7529.3,6438.0,17648.9,18319.4,26607.8,20586.2,20689.5,18339.2,26512.8,19543.3,11204.5,43743.6,15098.0,20561.0,6447.2,10157.6,19251.0,24071.8,33179.3,7013.7,11126.9,9179.3,11820.2,16890.4,18280.9,5645.6,8243.9,4805.3,3703.5,18388.6,10972.2,26583.0,16483.7,7170.3,20348.5,34356.7,9922.1,18666.7,8824.1,7328.3,9611.6,10833.4,18155.3,45072.2,24714.1,24687.9,20867.9,23997.7,5154.0,16930.2,3251.7,11199.3,21739.6,7185.3,18858.1,19843.1,25793.3,9521.5,13964.2,18691.0,8128.6,7540.6,18414.6,8909.1,11870.7,6535.0,4036.3,6889.9,21237.8,33313.3,5443.7,18104.1,8228.2,5971.0,3339.1,33032.9,5700.1,23703.6,20033.5,5438.7,14968.8,13276.9,8354.0,28281.5,9206.0,23420.9,7775.5,23195.9,23244.0,7468.5,4250.2
